"","X","Player","Pos","Height","Weight","Age","Age21"
"120",120,"Austin Rivers","G",76,200,21,"<=21"
"121",121,"Randy Foye","G",76,213,29,">21"
"122",122,"Ricky Rubio","G",76,180,22,">21"
"123",123,"Terrel Harris","G",76,190,26,">21"
"124",124,"J.J. Redick","G",76,190,29,">21"
"125",125,"Jodie Meeks","G",76,208,26,">21"
"126",126,"Diante Garrett","G",76,190,24,">21"
"127",127,"Kendall Marshall","G",76,195,22,">21"
"128",128,"Shannon Brown","G",76,210,27,">21"
"129",129,"Marcus Thornton","G",76,205,26,">21"
"130",130,"Keith Bogans","G",77,215,33,">21"
"131",131,"Courtney Lee","G",77,200,27,">21"
"132",132,"MarShon Brooks","G",77,200,24,">21"
"133",133,"Toure` Murry","F",77,200,23,">21"
"134",134,"Vander Blue","G",77,197,21,"<=21"
"135",135,"Daequan Cook","G",77,210,26,">21"
"136",136,"Rodney Stuckey","G",77,205,27,">21"
"137",137,"Ron Howard","G",77,200,30,">21"
"138",138,"Lance Stephenson","G",77,210,23,">21"
"139",139,"Orlando Johnson","G",77,220,24,">21"
"140",140,"Ray Allen","G",77,205,38,">21"
"141",141,"Arron Afflalo","G",77,215,27,">21"
"142",142,"Victor Oladipo","G",77,214,21,"<=21"
"143",143,"James Harden","G",77,220,24,">21"
"144",144,"Jamaal Franklin","G",77,205,22,">21"
"145",145,"Anthony Morrow","G",77,210,27,">21"
"146",146,"Roger Mason Jr.","G",77,205,33,">21"
"147",147,"Marco Belinelli","G",77,200,27,">21"
"148",148,"Nando De Colo","G",77,200,26,">21"
"149",149,"Lorenzo Brown","G",77,189,23,">21"
"150",150,"Jeremy Lamb","G",77,180,21,"<=21"
"151",151,"Wesley Matthews","G",77,220,26,">21"
"152",152,"Elliot Williams","G",77,183,24,">21"
"153",153,"Kent Bazemore","G",77,201,24,">21"
"154",154,"Jamal Crawford","G",77,200,33,">21"
"155",155,"Dionte Christmas","G",77,205,27,">21"
"156",156,"Archie Goodwin","G",77,189,19,"<=21"
"157",157,"Malcolm Lee","G",77,200,23,">21"
"158",158,"P.J. Tucker","F",77,225,28,">21"
"159",159,"Trent Lockett","G",77,210,22,">21"
"160",160,"Ben McLemore","G",77,195,20,"<=21"
"161",161,"Alan Anderson","F",78,219,30,">21"
"162",162,"Jerry Stackhouse","F",78,218,38,">21"
"163",163,"Tim Hardaway Jr.","G",78,205,21,"<=21"
"164",164,"Iman Shumpert","G",78,220,23,">21"
"165",165,"James Anderson","G",78,215,24,">21"
"166",166,"Tony Wroten","G",78,208,20,"<=21"
"167",167,"Michael Carter-Williams","G",78,185,21,"<=21"
"168",168,"Jason Richardson","G",78,225,32,">21"
"169",169,"Julyan Stone","G",78,200,24,">21"
"170",170,"Mickael Pietrus","F",78,215,31,">21"
"171",171,"C.J. Miles","G",78,222,26,">21"
"172",172,"Carrick Felix","G",78,200,23,">21"
"173",173,"Alonzo Gee","F",78,219,26,">21"
"174",174,"Kentavious Caldwell-Pope","G",78,205,20,"<=21"
"175",175,"Corey Maggette","F",78,225,33,">21"
"176",176,"Sam Young","F",78,220,28,">21"
"177",177,"Carlos Delfino","F",78,230,31,">21"
"178",178,"Damien Wilkins","G",78,225,33,">21"
"179",179,"Glen Rice Jr.","G",78,211,22,">21"
"180",180,"Garrett Temple","G",78,195,27,">21"
"181",181,"D.J. Kennedy","G",78,215,23,">21"
"182",182,"Vince Carter","F",78,220,36,">21"
"183",183,"Reggie Williams","G",78,205,27,">21"
"184",184,"Nick Calathes","G",78,194,24,">21"
